Algorithm,Imputer,Imbalance,Metric,Score
Bagging,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TP,6958.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TP,2135.0
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TP,2291.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TP,2018.0
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TP,2110.0
SVM,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TP,2137.0
RandomForest,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TP,2291.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TP,2143.0
Bagging,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TP,2274.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-TP,2317.0
