Algorithm,Imputer,Imbalance,Metric,Score
SVM,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-TN,6848.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-FN,195.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-FN,0.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-FN,627.0
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-FN,74.0
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-FN,95.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-FN,195.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-FN,0.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-FN,627.0
KNN,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-FN,74.0
SVM,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-FN,95.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-FN,195.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-FN,0.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-FN,627.0
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-FN,74.0
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-FN,95.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-FN,198.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-FN,0.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-FN,603.0
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-FN,69.0
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-FN,113.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-FN,195.0
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-FN,0.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-FN,630.0
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-FN,68.0
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-FN,91.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,ADASYN,Train-FN,195.0
DecisionTree,KNNImptuer__SimpleImputer_mode,ADASYN,Train-FN,0.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ADASYN,Train-FN,630.0
KNN,KNNImptuer__SimpleImputer_mode,ADASYN,Train-FN,68.0
SVM,KNNImptuer__SimpleImputer_mode,ADASYN,Train-FN,91.0
